timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight
"03:28 (MDT)","05:24 (MDT)","13:31 (MDT)","17:49 (MDT)","21:38 (MDT)","21:38 (MDT)","23:34 (MDT)","03:18 (MDT)","01:31 (MDT)","00:13 (MDT)","02:49 (MDT)","21 May 2023",1684681261,21-05-2023,DD-MM-YYYY,21,Sunday,5,May,2023,AD,"Anno Domini",01-11-1444,DD-MM-YYYY,01,"Al Ahad",الاحد,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:27 (MDT)","05:23 (MDT)","13:31 (MDT)","17:50 (MDT)","21:39 (MDT)","21:39 (MDT)","23:35 (MDT)","03:17 (MDT)","01:31 (MDT)","00:14 (MDT)","02:48 (MDT)","22 May 2023",1684767661,22-05-2023,DD-MM-YYYY,22,Monday,5,May,2023,AD,"Anno Domini",02-11-1444,DD-MM-YYYY,02,"Al Athnayn",الاثنين,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:26 (MDT)","05:21 (MDT)","13:31 (MDT)","17:51 (MDT)","21:41 (MDT)","21:41 (MDT)","23:36 (MDT)","03:16 (MDT)","01:31 (MDT)","00:14 (MDT)","02:48 (MDT)","23 May 2023",1684854061,23-05-2023,DD-MM-YYYY,23,Tuesday,5,May,2023,AD,"Anno Domini",03-11-1444,DD-MM-YYYY,03,"Al Thalaata",الثلاثاء,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:26 (MDT)","05:20 (MDT)","13:31 (MDT)","17:51 (MDT)","21:42 (MDT)","21:42 (MDT)","23:37 (MDT)","03:16 (MDT)","01:31 (MDT)","00:15 (MDT)","02:47 (MDT)","24 May 2023",1684940461,24-05-2023,DD-MM-YYYY,24,Wednesday,5,May,2023,AD,"Anno Domini",04-11-1444,DD-MM-YYYY,04,"Al Arba'a",الاربعاء,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:25 (MDT)","05:19 (MDT)","13:31 (MDT)","17:52 (MDT)","21:44 (MDT)","21:44 (MDT)","23:37 (MDT)","03:15 (MDT)","01:31 (MDT)","00:15 (MDT)","02:47 (MDT)","25 May 2023",1685026861,25-05-2023,DD-MM-YYYY,25,Thursday,5,May,2023,AD,"Anno Domini",05-11-1444,DD-MM-YYYY,05,"Al Khamees",الخميس,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:24 (MDT)","05:18 (MDT)","13:31 (MDT)","17:52 (MDT)","21:45 (MDT)","21:45 (MDT)","23:38 (MDT)","03:14 (MDT)","01:31 (MDT)","00:16 (MDT)","02:47 (MDT)","26 May 2023",1685113261,26-05-2023,DD-MM-YYYY,26,Friday,5,May,2023,AD,"Anno Domini",06-11-1444,DD-MM-YYYY,06,"Al Juma'a",الجمعة,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:24 (MDT)","05:16 (MDT)","13:31 (MDT)","17:53 (MDT)","21:46 (MDT)","21:46 (MDT)","23:39 (MDT)","03:14 (MDT)","01:31 (MDT)","00:16 (MDT)","02:46 (MDT)","27 May 2023",1685199661,27-05-2023,DD-MM-YYYY,27,Saturday,5,May,2023,AD,"Anno Domini",07-11-1444,DD-MM-YYYY,07,"Al Sabt",السبت,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:23 (MDT)","05:15 (MDT)","13:31 (MDT)","17:53 (MDT)","21:48 (MDT)","21:48 (MDT)","23:40 (MDT)","03:13 (MDT)","01:32 (MDT)","00:17 (MDT)","02:46 (MDT)","28 May 2023",1685286061,28-05-2023,DD-MM-YYYY,28,Sunday,5,May,2023,AD,"Anno Domini",08-11-1444,DD-MM-YYYY,08,"Al Ahad",الاحد,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:23 (MDT)","05:14 (MDT)","13:31 (MDT)","17:54 (MDT)","21:49 (MDT)","21:49 (MDT)","23:40 (MDT)","03:13 (MDT)","01:32 (MDT)","00:17 (MDT)","02:46 (MDT)","29 May 2023",1685372461,29-05-2023,DD-MM-YYYY,29,Monday,5,May,2023,AD,"Anno Domini",09-11-1444,DD-MM-YYYY,09,"Al Athnayn",الاثنين,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:23 (MDT)","05:13 (MDT)","13:32 (MDT)","17:54 (MDT)","21:50 (MDT)","21:50 (MDT)","23:41 (MDT)","03:13 (MDT)","01:32 (MDT)","00:18 (MDT)","02:46 (MDT)","30 May 2023",1685458861,30-05-2023,DD-MM-YYYY,30,Tuesday,5,May,2023,AD,"Anno Domini",10-11-1444,DD-MM-YYYY,10,"Al Thalaata",الثلاثاء,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
"03:22 (MDT)","05:12 (MDT)","13:32 (MDT)","17:55 (MDT)","21:52 (MDT)","21:52 (MDT)","23:42 (MDT)","03:12 (MDT)","01:32 (MDT)","00:19 (MDT)","02:45 (MDT)","31 May 2023",1685545261,31-05-2023,DD-MM-YYYY,31,Wednesday,5,May,2023,AD,"Anno Domini",11-11-1444,DD-MM-YYYY,11,"Al Arba'a",الاربعاء,11,"Dhū al-Qaʿdah",ذوالقعدة,1444,AH,"Anno Hegirae",53.546218,-113.490371,America/Edmonton,2,"Islamic Society of North America (ISNA)",15,15,39.7042123,-86.3994387,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0
<!doctype html><html lang="en">    <head>        <meta charset="utf-8">        <meta name="viewport" content="width=device-width, initial-scale=1">        <title>Slim Application Error</title>        <style>            body{margin:0;padding:30px;font:12px/1.5 Helvetica,Arial,Verdana,sans-serif}            h1{margin:0;font-size:48px;font-weight:normal;line-height:48px}            strong{display:inline-block;width:65px}        </style>    </head>    <body>        <h1>Slim Application Error</h1>        <div><p>A website error has occurred. Sorry for the temporary inconvenience.</p></div>        <a href="#" onclick="window.history.go(-1)">Go Back</a>    </body></html>
